,id,compendiumUrl,numPages,curatorApiUrl,GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION
18,10072,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10072.pdf,8,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10072,10072,50,Apollo 11,,,ALSRC 1004,447.0,Basalt,Ilmenite,15.215,"November, 20 2014 00:00:00",True,True,"10072,80","high K, fine-grained, subophitic, large vesicles, olivine, pyroxene, cristobalite, armalcolite, plagioclase, ilmenite"
19,10092,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10092.pdf,3,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10092,10092,60,Apollo 11,,,ALSRC 1003,46.0,Basalt,Ilmenite,83.92,"December, 03 2014 00:00:00",True,,,"low K, intergranular, large vesicles to vuggy, olivine, pyroxene, anorthite, ilmenite, cristobalite"
20,12002,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12002.pdf,15,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12002,12002,,Apollo 12,,,,1530.0,Basalt,Olivine,49.042,"March, 11 2015 00:00:00",True,,,"C, medium-grained, few vesicles & vugs, ilmenite, chromite, ulvospinel, porphyritic olivine, radiate matrix"
21,12004,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12004.pdf,10,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12004,12004,,Apollo 12,,MIDDLE CRESCENT CRATER,,585.0,Basalt,Olivine,85.528,"January, 21 2015 00:00:00",True,,,"C, medium-grained, few vesicles & vugs, ilmenite, chromite, ulvospinel, silica, porphyritic olivine, radiate matrix"
22,12005,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12005.pdf,5,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12005,12005,,Apollo 12,,,,482.0,Basalt,Ilmenite,88.305,"March, 11 2015 00:00:00",True,False,,"C, medium to coarse-grained, none to very few vesicles & vugs, pyroxene, enclosed embayed olivine, ilmenite, chromite, ulvospinel, variable, highest Mg/Fe"
23,12006,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12006.pdf,4,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12006,12006,,Apollo 12,,,,206.4,Basalt,Olivine,0.527,"November, 20 2014 00:00:00",True,True,"12006,1","C, medium-grained, few vugs, ilmenite, chromite, ulvospinel, subophitic, radiating feldspar laths"
24,12007,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12007.pdf,3,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12007,12007,,Apollo 12,,,,65.2,Basalt,Pigeonite,72.719,"April, 16 2014 00:00:00",True,,,"C, medium-grained, few vugs, ilmenite, chromite, ulvospinel, silica, porphyritic pigeonite, ophitic to radiate matrix"
25,12008,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12008.pdf,5,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12008,12008,,Apollo 12,,,,58.4,Basalt,Ilmenite,57.711,"January, 13 2015 00:00:00",True,,,"C, fine-grained, no vesicles & vugs, ilmenite, chromite, ulvospinel, silica, olivine porphyritic, very fine-grained to glassy matrix"
26,12009,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12009.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12009,12009,,Apollo 12,,,,468.2,Basalt,Olivine,88.431,"March, 04 2015 00:00:00",True,,,"C, fine-grained, 1 large vesicle, ilmenite, chromite, ulvospinel, vitrophyre, skeleton olivine phenocrysts in spherulite matrix"
27,12011,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12011.pdf,4,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12011,12011,,Apollo 12,,,,193.0,Basalt,Pigeonite,93.492,"January, 20 2015 00:00:00",True,,,"C, medium-grained, rare vugs, ilmenite, chromite, silica, olivine & pigeonite phenocrysts, fine-grained radiate groundmass"
